ID,population,DTA,ASI
W22 x TIL01 BC1S4# Line_A055,W22TIL01,76,0
W22 x TIL01 BC1S4# Line_A056,W22TIL01,67,0
W22 x TIL01 BC1S4# Line_A057,W22TIL01,71,-4
W22 x TIL01 BC1S4# Line_A058,W22TIL01,73,-2
W22 x TIL01 BC1S4# Line_A059,W22TIL01,75,-4
W22 x TIL01 BC1S4# Line_A060,W22TIL01,70,-3
W22 x TIL01 BC1S4# Line_A061,W22TIL01,78,-4
W22 x TIL01 BC1S4# Line_A062,W22TIL01,75,2
W22 x TIL01 BC1S4# Line_A063,W22TIL01,65,0
W22 x TIL01 BC1S4# Line_A064,W22TIL01,69,-1
W22 x TIL01 BC1S4# Line_A065,W22TIL01,81,-5
W22 x TIL01 BC1S4# Line_A066,W22TIL01,73,-5
W22 x TIL01 BC1S4# Line_A067,W22TIL01,69,0
W22 x TIL01 BC1S4# Line_A068,W22TIL01,76,-3
W22 x TIL01 BC1S4# Line_A069,W22TIL01,78,-2
W22 x TIL01 BC1S4# Line_A070,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_A071,W22TIL01,75,-5
W22 x TIL01 BC1S4# Line_A072,W22TIL01,78,-1
W22 x TIL01 BC1S4# Line_A073,W22TIL01,78,-1
W22 x TIL01 BC1S4# Line_A074,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_A075,W22TIL01,71,-1
W22 x TIL01 BC1S4# Line_A076,W22TIL01,75,-4
W22 x TIL01 BC1S4# Line_A077,W22TIL01,70,0
W22 x TIL01 BC1S4# Line_A078,W22TIL01,71,-3
W22 x TIL01 BC1S4# Line_A079,W22TIL01,71,0
W22 x TIL01 BC1S4# Line_A081,W22TIL01,69,-3
W22 x TIL01 BC1S4# Line_A082,W22TIL01,83,0
W22 x TIL01 BC1S4# Line_A083,W22TIL01,70,-5
W22 x TIL01 BC1S4# Line_A084,W22TIL01,73,-2
W22 x TIL01 BC1S4# Line_A085,W22TIL01,67,0
W22 x TIL01 BC1S4# Line_A086,W22TIL01,69,-3
W22 x TIL01 BC1S4# Line_A087,W22TIL01,72,0
