ID,population,RBN,CL,RL,DTF3,FT16,FT10
9710,9,,11.5243,51.0968,81.4214,81.4137,82.1232
9711,9,2.2625,10.6672,43.0498,80.7324,80.7308,76.7869
9712,9,2.1974,9.973,47.7283,76.2846,76.293,78.8765
9713,9,,9.7241,47.4827,66.6491,66.6537,76.9802
9714,9,2.8746,9.2444,49.6384,80.5594,80.5587,82.4526
9716,9,5.1073,9.1002,,119.8139,119.8114,103.9052
9717,9,2.7364,10.7073,38.1483,91.5302,91.5235,91.8135
9718,9,,10.7951,35.7247,77.2226,77.2286,80.3959
9719,9,,9.2705,38.0752,56.1696,56.1781,74.3166
9720,9,7.6688,13.7846,70.0111,101.9966,101.99,102.073
9721,9,5.0232,16.4292,44.2135,76.1377,76.1431,79.3046
9722,9,,11.7814,,106.0125,106.0106,100.866
9723,9,2.9241,9.1391,36.4114,66.8,66.8025,77.7375
9725,9,4.5667,6.7839,38.0133,54.92,54.9305,63.229
9726,9,3.5637,7.7006,31.0856,54.8426,54.85,68.7714
9727,2,5.5672,10.2666,27.8974,55.3133,54.401,68.2613
9728,2,4.5034,13.6037,58.0492,88.2757,87.3536,83.4137
9729,2,4.4415,18.8714,62.0253,89.5854,88.6493,102.419
9730,2,4.5759,14.6846,55.2125,107.3773,106.4357,94.7496
9731,2,4.9899,16.5502,56.6287,76.7305,75.8035,98.2003
9732,2,,15.0144,65.279,98.7314,97.7872,87.9033
9733,2,,21.526,52.7378,94.3067,93.3762,85.9879
9735,2,4.504,16.4708,53.7189,84.649,83.7193,91.3247
9736,1,1.8287,9.1413,53.7517,84.41,84.4576,80.3098
9737,3,2.4803,10.5818,59.0229,66.5749,66.2523,88.8364
9738,1,4.2087,12.2846,54.1678,77.2395,77.2825,81.2825
9739,2,,7.2362,50.0108,79.1905,78.2523,91.8389
9741,2,1.5476,12.0791,58.4142,82.2068,81.2834,93.8757
9743,1,3.6366,13.0053,56.8857,78.5141,78.5586,81.8889
9744,1,1.8505,10.7715,42.6731,66.9544,67.0087,81.1378
9745,3,4.3932,7.4175,47.0532,78.6506,78.3283,82.6572
9747,2,1.6987,13.2253,73.8897,105.1313,104.2011,91.8614
9748,1,3.0223,12.0725,52.5015,89.6161,89.6602,83.2945
9749,9,,10.2187,56.5303,62.1124,62.121,76.5442
9754,1,4.7209,,,,,81.5886
9755,9,,10.503,55.0802,80.217,80.22,90.3
9756,2,,12.1371,45.9966,83.5976,82.6607,94.4868
9757,9,2.4374,10.9163,53.8208,91.0914,91.0856,95.1459
9758,3,4.1752,8.716,33.7309,75.5649,75.232,74.4073
9759,9,4.8462,8.3653,33.7361,57.0654,57.0683,63.6882
9761,2,7.1857,7.2379,52.5611,68.6055,67.6722,71.2831
9762,1,4.1188,12.1987,42.8522,76.3037,76.3545,97.5567
9764,1,1.8805,6.6292,45.7742,66.4009,66.4483,72.2915
9766,3,2.5273,5.5552,21.0739,42.4373,42.1049,61.198
9768,2,6.801,10.768,30.7289,65.3738,64.4468,80.4694
9769,2,6.4899,8.0913,27.6186,55.4306,54.4994,72.5144
9770,2,4.62,8.862,27.3929,55.4691,54.5426,72.9811
9771,2,3.0432,7.1296,27.8285,54.9709,54.0297,68.5753
9772,2,5.5613,6.6825,24.4488,51.4932,50.5645,72.9373
9774,2,3.6063,8.1948,24.998,53.7954,52.8577,74.0364
9775,2,3.288,7.9966,30.8876,55.0371,54.1044,66.2357
9776,2,5.7693,7.1618,22.5165,68.1231,67.1836,71.3271
9777,2,,7.4603,23.743,54.3012,53.3622,72.5518
9778,2,3.2398,7.2808,41.141,59.9625,59.024,77.3956
9779,2,5.4055,7.9108,31.0209,55.4264,54.4873,69.3314
9780,2,6.2343,8.0721,27.8944,56.4792,55.5498,78.175
9781,2,5.2744,6.1379,26.7276,52.4195,51.4901,66.115
9782,2,4.677,6.1658,25.9137,55.2731,54.3394,69.3809
9783,1,5.3797,10.335,48.5057,69.9047,69.9522,78.8942
9784,2,5.4465,7.8411,27.8417,54.2121,53.2671,66.3469
9785,2,4.6662,8.8338,31.8562,55.9742,55.0402,69.3878
9786,2,4.5206,6.5311,21.7711,51.0643,50.124,70.8155
9787,2,4.9614,7.5904,30.3632,60.0366,59.1064,76.4891
9788,2,4.8681,7.8303,24.0217,49.1315,48.2014,68.5524
9789,2,6.7933,7.3318,25.5971,53.0019,52.0652,70.9705
9790,2,6.7934,7.2549,23.2678,52.5905,51.6598,72.8283
9791,2,5.6661,8.9259,20.2087,49.161,48.2305,71.3962
9792,2,5.6101,6.9354,23.913,53.486,52.5658,68.7764
9793,2,5.8705,9.3267,20.2077,73.8657,72.9329,68.08
9794,2,4.8195,7.4584,24.8802,55.2134,54.2765,75.1927
9795,2,5.044,6.375,19.337,49.0347,48.1001,63.9161
9796,2,6.7395,7.0322,29.8884,56.6936,55.763,79.3079
9797,2,5.3496,6.0443,28.787,57.1788,56.2422,74.9605
9798,2,5.4376,6.2345,24.7338,55.3441,54.4002,71.1896
9799,2,5.2877,8.3539,32.3294,61.1984,60.2728,72.2562
9800,2,4.9279,6.1303,24.91,53.2261,52.2918,74.4339
9801,2,5.1692,5.2885,17.5563,47.1538,46.222,68.1156
9802,2,4.8134,7.1442,24.9598,53.4879,52.5549,75.7228
9803,2,4.765,6.2432,24.0031,52.0342,51.1074,69.0803
9804,2,6.3883,7.8454,28.8704,56.4565,55.5224,71.7522
9805,2,6.1795,10.099,27.6751,63.7234,62.7878,76.4972
9806,2,7.4593,6.2202,21.0858,53.783,52.8558,73.0563
9807,2,4.4128,7.1543,25.6646,53.7827,52.8519,73.4897
9808,2,5.8192,12.0716,36.8889,63.6182,62.69,81.0478
9809,0,6.074,8.6169,35.3201,61.5982,61.5201,82.1495
9810,2,2.8369,9.4736,22.5023,53.0308,52.094,75.2698
9811,2,3.9042,7.1025,28.6008,55.6924,54.7607,75.6826
9812,2,5.5984,8.7549,27.43,56.4532,55.5205,73.7702
9813,2,6.0943,7.9129,27.1612,56.2481,55.3156,71.7559
9814,2,5.3777,5.7968,23.8009,59.0131,58.0936,77.3799
9815,2,5.3404,10.3485,34.2907,58.7266,57.7915,78.3489
9816,2,3.3627,5.2494,19.8358,49.8137,48.8819,69.0707
9817,8,,9.7988,29.2504,63.1812,63.8626,67.2687
9819,8,3.3835,13.4775,52.1616,97.7143,98.3907,100.6092
9820,8,,7.0066,31.0567,55.3678,56.0499,65.1971
9821,8,4.9797,12.9848,51.8318,71.5532,72.2172,82.1416
9822,8,4.8263,7.2989,37.492,61.7742,62.4589,84.7302
9823,0,2.1883,7.5921,23.2422,52.4647,52.3782,70.6437
9824,1,4.9219,,,145.9922,146.0335,117.3398
9825,8,,8.9248,37.4292,62.9758,63.6559,71.5316
9826,0,,12.621,61.435,83.2852,83.192,84.5658
9827,0,5.6175,9.058,52.6058,70.3172,70.2197,76.8506
9828,0,4.8277,13.9953,60.8158,89.0797,88.9899,89.8334
9830,1,2.2313,5.6305,37.2089,54.9526,55.0063,64.1277
9831,1,7.3831,7.8734,47.5187,91.6233,91.6707,88.3925
9832,7,5.5898,15.4761,51.2358,98.71,99.8049,98.8886
9833,8,4.3794,10.2111,46.0077,65.1106,65.786,78.5987
9834,8,,8.3453,45.6174,63.1178,63.8007,77.7816
9835,1,6.8629,11.3146,40.966,73.4102,73.4603,84.1487
9836,8,5.3768,6.5714,,127.422,128.0907,111.863
9837,7,2.1288,8.7612,57.2402,72.7755,73.8724,78.5517
9838,1,,9.8455,34.1768,70.658,70.7181,76.0918
9839,1,6.973,12.9607,,118.2164,118.2606,104.7696
9840,8,1.9893,15.5589,,119.5606,120.2312,103.1691
9841,8,,8.7085,41.1733,67.4064,68.1001,80.5447
9843,8,3.3042,9.9014,41.4187,58.1918,58.8689,65.8769
9844,8,3.4703,8.825,44.6417,83.664,84.3318,92.0856
9845,8,3.0601,6.8366,30.021,64.389,65.0594,80.2269
9846,8,3.9165,11.8736,,118.5737,119.2444,118.1523
9847,0,,6.9932,25.1358,55.3579,55.2693,67.6129
9848,8,,11.9128,47.4045,97.154,97.8126,88.3811
9849,1,5.5024,16.8113,45.3725,103.0493,103.1008,101.1292
9850,8,1.7598,8.0524,50.1127,82.3767,83.0522,98.1346
9851,0,,,,153.7008,153.6019,126.3373
9852,8,,8.6056,29.0518,66.7234,67.3925,79.0635
9853,0,,6.2953,15.9466,46.0086,45.9188,64.5031
9854,0,5.3873,7.2217,22.4496,51.1542,51.0621,66.5321
9855,8,4.4786,8.9518,38.511,61.131,61.8127,75.9139
9856,8,4.1425,11.0731,31.2416,62.95,63.6253,78.0211
9857,8,3.0996,10.1415,34.9873,65.8877,66.5763,68.8261
9858,1,6.2149,11.6784,,126.6293,126.6737,122.4272
9859,8,5.911,10.1931,27.1251,82.2245,82.9044,79.0916
9860,8,,9.5797,46.0041,63.7699,64.4493,83.533
9861,8,3.5527,9.25,62.5638,113.5273,114.2005,109.8355
9862,0,3.4754,12.3654,36.0017,64.0992,64.0113,75.0643
9864,8,6.329,7.1089,26.251,56.6496,57.3283,66.1634
9866,8,4.686,13.5157,50.6378,116.9309,117.6041,107.088
9867,8,5.2938,11.0194,74.9594,100.8376,101.5076,104.1494
9868,8,,10.1271,47.3653,68.0718,68.7524,73.2922
9869,7,,15.452,44.3034,89.1799,90.2767,88.3846
9870,8,8.3159,8.7122,60.5074,110.0296,110.6993,102.9866
9871,7,7.9536,11.9122,,125.8216,126.9134,106.7804
9873,8,,8.4212,24.4914,55.0103,55.6867,69.4028
9874,8,,5.977,30.0248,55.7679,56.4505,71.8098
9875,0,4.3744,7.2146,22.2465,55.1613,55.0656,71.2923
9876,8,5.5615,11.524,51.5546,74.2413,74.9226,90.0916
9877,1,7.6255,,,,,126.3615
9878,8,1.9027,7.8724,,115.0291,115.6912,115.4686
9879,7,,8.8164,42.4031,68.166,69.2647,71.0058
9880,8,,13.4379,51.7725,86.9236,87.609,94.3709
9881,1,6.3872,10.7527,55.9396,82.1215,82.1698,84.5091
9882,8,,8.5814,39.8669,69.7309,70.4086,81.274
9883,8,3.4733,5.5196,13.881,41.3915,42.0683,63.1586
9885,8,4.6912,13.5099,,117.9834,118.6518,118.4494
9886,8,,7.8552,38.7842,56.6559,57.3337,88.633
9887,7,5.8072,17.2939,60.0501,99.2716,100.3687,91.624
9888,8,4.4604,10.4488,59.5474,95.8513,96.5209,89.0468
9890,1,,12.1871,57.8084,97.8338,97.888,98.2442
9891,8,,5.2831,70.3958,,,85.6093
9892,1,,9.7657,43.1299,87.9978,88.041,90.6944
9894,1,7.6399,9.1733,53.4522,80.1466,80.1903,90.4027
9895,8,8.4194,9.4559,41.8369,70.2907,70.9596,78.4914
9897,1,5.0471,12.2983,55.6515,85.0099,85.057,83.3517
9898,8,4.6234,22.2915,63.0861,96.5168,97.199,100.4084
9899,8,2.6127,8.1798,37.548,57.7561,58.449,74.1335
9900,8,2.0968,6.7179,19.0318,49.4239,50.1149,56.0417
9901,8,,17.7258,68.535,101.7487,102.4259,119.3132
9902,8,3.8384,11.2457,66.3964,109.4287,110.098,100.511
9903,8,,16.0602,61.8413,107.793,108.4541,110.2812
9904,8,,10.2414,93.9705,113.7451,114.413,109.9188
9905,7,,12.4814,55.2188,103.4127,104.5109,91.9026
9906,1,,11.2839,54.1191,83.4165,83.4621,90.146
9908,0,4.9635,8.325,29.6703,56.9104,56.844,72.8957
9909,0,3.4972,11.9763,35.7786,67.2872,67.1461,93.9053
9910,0,5.6241,7.4707,23.4038,54.0226,53.9265,77.5873
9911,0,5.6267,5.8843,28.7654,54.9254,54.8234,73.6072
9912,0,5.1102,5.7086,20.1257,49.5095,,
9914,2,4.6427,9.2152,45.8661,65.7231,64.7981,80.2469
9915,2,3.9648,12.5235,65.3358,86.0165,85.0777,90.0237
9917,0,4.9236,8.9916,32.727,64.6431,64.5537,82.7873
9918,0,2.0681,13.5425,62.3886,100.0009,99.8987,88.5584
9920,4,4.7124,6.8079,30.3324,59.1497,59.1038,69.6883
9921,0,3.7051,7.6866,22.7452,58.7137,58.6375,72.1602
9924,1,5.1238,9.3397,30.3059,60.6336,60.683,69.0621
9925,0,4.9886,10.4528,64.4517,89.127,89.0199,99.6122
9926,0,3.4916,6.3199,32.0134,54.8002,54.7082,74.6588
9927,0,4.0347,10.2699,53.5767,83.4615,83.3662,94.9668
9928,0,,10.1082,59.1428,87.0988,86.9955,90.7118
9929,0,3.4313,11.1231,62.3438,98.1108,98.0051,92.6382
9930,2,5.4746,10.1637,49.9786,79.3604,78.421,81.8361
9932,1,2.6265,7.5835,57.0292,79.4597,79.4985,83.7151
9933,1,3.2371,5.1755,18.2856,52.5907,52.6373,78.9702
9935,0,5.0406,15.1864,53.3222,83.9551,83.8607,86.6212
9937,0,5.9756,9.8503,35.0896,58.2102,58.1155,74.602
9938,0,2.6836,8.2346,33.3797,84.1119,84.0041,74.7839
9939,7,2.7552,13.0026,55.4062,69.2383,70.3137,77.4735
9941,0,4.8253,7.6007,25.829,53.0257,52.9279,77.5803
9942,8,,13.0874,74.2854,109.808,110.4791,69.0682
9943,8,3.335,10.2785,32.9725,60.7982,61.4724,76.5422
9944,7,4.8117,7.8691,50.3101,76.6428,77.7374,78.1522
9945,1,3.6352,12.4823,34.1046,113.1707,113.2157,115.0449
9946,8,,10.6811,26.1098,53.8778,54.5467,64.2973
9947,7,2.9336,15.0305,,133.0351,134.119,106.3017
9948,8,4.912,,,,,107.4737
9949,0,,10.8926,44.7761,71.927,71.8336,84.2919
9950,8,3.6212,13.627,46.9882,85.6951,86.3724,101.6731
9951,3,,9.9842,36.0139,112.0162,111.698,101.4834
9952,3,4.0648,8.301,31.6202,106.7786,106.4502,89.1035
9953,3,3.2511,11.6414,43.3542,95.8898,95.5704,91.0923
9955,3,,10.0685,58.2176,75.7017,75.3725,83.5498
9956,3,,12.0226,41.4131,63.8602,63.5404,76.05
9957,3,,14.7459,58.4368,87.6269,87.3038,86.8332
9958,3,2.3513,11.032,56.1174,79.2732,78.9516,85.2037
9959,3,3.7058,13.3533,44.3085,81.4474,81.1236,84.6105
9960,3,6.6608,12.2125,48.4052,69.4855,69.1571,85.578
9962,9,3.4034,12.479,58.8701,69.9618,69.9624,79.6006
9963,9,6.0206,7.637,51.6794,64.9312,64.9378,76.6705
9964,9,4.0273,11.1332,37.4789,62.7964,62.7856,71.6891
9965,9,2.4124,10.0286,31.7754,54.3533,54.3647,72.2078
9966,9,2.8009,11.59,60.7095,78.2038,78.2028,91.8877
9968,9,5.3695,15.4374,40.1665,56.0965,56.0989,68.557
9969,9,2.2471,15.2764,39.2532,67.5222,67.5161,70.556
9970,2,2.1207,10.6923,71.5575,92.2705,91.336,92.1998
9971,2,3.3761,11.7321,60.8757,71.7477,70.8133,76.4385
9972,2,2.2537,10.7817,55.3886,69.5909,68.6607,69.3705
9973,2,4.5852,,,120.3571,119.4228,99.8188
9974,2,2.784,15.59,52.6152,103.9174,102.9761,99.6616
9975,2,2.7303,12.2663,62.0204,93.0319,92.0928,85.3789
9976,2,5.4099,10.2103,55.4002,83.1307,82.2023,84.8138
9978,2,2.7777,11.1419,48.3419,104.9992,104.0786,86.2055
9979,2,1.8712,14.7183,48.7011,79.2837,78.3567,88.4369
9980,9,,10.4711,39.8276,58.764,58.7718,70.2112
9981,9,,11.4237,29.5919,53.8453,53.8507,70.9747
9982,9,,12.3484,41.1487,77.3841,77.3876,86.923
9983,1,2.0731,9.6779,37.3962,62.0533,62.1047,65.4932
9984,1,2.1476,11.6156,46.5558,59.6315,59.6801,68.2217
9985,9,5.813,10.8136,36.3278,61.8364,61.8434,72.855
9986,9,2.2602,15.606,,84.2298,84.2272,90.8949
9987,9,3.9695,13.0555,57.4968,80.4725,80.4766,92.4745
9988,9,3.902,10.3126,78.4325,110.364,110.3571,97.0451
9990,9,2.8712,9.0746,44.0589,73.3483,73.3452,85.3841
9991,9,3.4615,15.9498,44.1403,90.9677,90.9721,92.1163
9993,1,,14.7218,48.2889,122.8388,122.8805,99.8193
9995,2,2.9834,7.042,26.252,52.5876,51.6591,70.391
9996,2,,6.5805,20.0594,49.0947,48.1628,67.5096
9997,2,,11.3943,33.3764,62.2528,61.3242,76.2617
9998,1,6.4756,6.307,27.2353,49.9146,49.9692,70.5481
9999,2,5.6805,9.0083,34.289,64.9119,63.9797,77.9225
10001,0,5.104,8.8625,33.6907,59.9342,59.8371,76.4746
10002,0,5.0275,6.0775,19.5426,53.0456,52.9591,68.8271
